"MCS","Target"
"[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#8]-[#6](=[#8])-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","O15393"
"[#6](-[#7]-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1)-[#6](=[#8])-[#6]-[#7]-[#16](=[#8])(=[#8])-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","O15393"
"[#6]1:[#6]:[#6]:[#6](-[#6]-[#7]-[#6](=[#8])-[#6]2-[#6]-[#6]-[#6]-[#7]-2-[#6](=[#8])-[#6]-[#7]-[#16](=[#8])(=[#8])-[#6]-[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2):[#6]:[#6]:1","O15393"
"[#6]1:[#6]:[#6]:[#6]:[#6](-[#6]-[#6](-[#7]-[#16](=[#8])(=[#8])-[#6]2:[#6]:[#6]:[#6]:[#6](-[#6]3=[#6]-[#6]-[#6]-[#6]=[#6]-3):[#6]:2)-[#6](=[#8])-[#7]2-[#6]-[#6]-[#6]-[#6]-[#6]-2):[#6]:1","O15393"
"[#6]1-[#8]-[#6](-[#6]-[#6]-1)-[#7]1:[#6]:[#7]:[#6]2:[#6]:1:[#7]:[#6]:[#7]:[#6]:2","P0C6U8"
"[#6]1:[#6]:[#6](-[#16](=[#8])(=[#8])-[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2):[#6]:[#6]:[#6]:1","P0C6U8"
"[#6](-[#6]-[#6]1-[#6]-[#6]-[#7]-[#6]-1=[#8])-[#7]-[#6](=[#8])-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","P0C6U8"
"[#6](-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1)-[#7]-[#6](=[#8])-[#8]-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","P0C6U8"
"[#6](-[#6]-[#6]1-[#6]-[#6]-[#7]-[#6]-1=[#8])-[#7]-[#6](=[#8])-[#6]","P0C6U8"
"[#6](-[#6]1:[#6]:[#6]:[#6]:[#7]:[#6]:1)-[#7](-[#6](=[#8])-[#6]1:[#6]:[#6]:[#6]:[#8]:1)-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","P0C6U8"
"[#8]=[#6](-[#16]-[#6]1:[#7]:[#7]:[#6]:[#7H]:1)-[#6]1:[#6]:[#6]:[#6](-[#6]#[#6]-[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2):[#8]:1","P0C6U8"
